               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034114,            0.017773,           0.0074964,             0.42072,             0.44468,             0.43724,             0.28846,             0.04827,              0.0135,             0.02442,            0.006436,            0.006436,            0.006436
                  38,            0.033372,            0.017481,           0.0078325,              0.4671,              0.3777,             0.41832,             0.27147,            0.048245,             0.01409,            0.026332,            0.006337,            0.006337,            0.006337
                  39,             0.03242,            0.017058,           0.0069471,             0.61456,             0.43645,             0.49896,             0.32082,             0.04897,            0.014006,            0.023358,            0.006238,            0.006238,            0.006238
                  40,            0.034398,            0.017264,           0.0072105,             0.61628,             0.46708,             0.49879,             0.32611,            0.045878,            0.013283,            0.021352,            0.006139,            0.006139,            0.006139
                  41,            0.031968,            0.016832,           0.0064742,              0.5449,             0.50276,             0.51499,             0.33108,            0.048601,            0.013545,            0.020621,             0.00604,             0.00604,             0.00604
                  42,            0.031543,            0.016396,           0.0062462,             0.54758,              0.3984,             0.45081,             0.29465,            0.050314,            0.015353,            0.029429,            0.005941,            0.005941,            0.005941
                  43,            0.031868,            0.016721,           0.0065889,             0.49486,             0.50191,             0.49993,              0.3269,            0.046876,            0.014318,            0.026156,            0.005842,            0.005842,            0.005842
                  44,            0.032819,            0.016668,           0.0074188,             0.40056,             0.44782,             0.38316,             0.23476,            0.049638,            0.015961,            0.030866,            0.005743,            0.005743,            0.005743
                  45,            0.031435,            0.016616,           0.0059379,             0.53776,             0.44912,             0.47456,              0.3031,             0.04732,             0.01466,            0.024656,            0.005644,            0.005644,            0.005644
                  46,             0.03092,            0.016526,              0.0063,              0.5772,             0.44704,             0.48185,             0.30582,            0.049884,            0.014368,            0.024717,            0.005545,            0.005545,            0.005545
                  47,            0.030887,            0.016261,           0.0059425,             0.47789,             0.50412,             0.47684,             0.30873,            0.047308,            0.013875,            0.023519,            0.005446,            0.005446,            0.005446
                  48,            0.031097,            0.016299,           0.0062619,             0.54989,             0.43518,             0.46309,             0.28512,            0.052099,            0.016512,            0.033777,            0.005347,            0.005347,            0.005347
                  49,            0.030061,             0.01688,           0.0060548,             0.60438,             0.48015,             0.47766,             0.31504,            0.046343,            0.015316,            0.022265,            0.005248,            0.005248,            0.005248
                  50,            0.030315,            0.016165,           0.0057739,             0.52003,             0.43774,             0.44828,             0.29794,              0.0481,            0.015168,            0.026544,            0.005149,            0.005149,            0.005149
                  51,            0.030952,            0.016284,           0.0072051,             0.65219,             0.37619,             0.43815,             0.29097,            0.048134,            0.015222,            0.024198,             0.00505,             0.00505,             0.00505
